species,complex,accession
Mycobacterium sp050701835,M. chelonae-abscessus complex,GCA_050701835.1
Mycobacterium sp900240975,M. scrofulaceum group,GCF_900240975.1
Mycobacterium sp963712615,M. simiae complex,GCA_963712615.1
Mycobacterium sp963732835,M. scrofulaceum group,GCA_963732835.1
Mycobacterium sp963794245,M. simiae complex,GCA_963794245.1
Mycobacterium sp963796035,M. avium complex,GCA_963796035.1
Mycobacterium sp963797865,M. avium complex,GCA_963797865.1
Mycobacterium sp963815705,M. simiae complex,GCA_963815705.1
Mycobacterium sp963820045,M. scrofulaceum group,GCA_963820045.1
Mycobacterium sp963826365,M. simiae complex,GCA_963826365.1
Mycobacterium sp963832935,M. simiae complex,GCA_963832935.1
Mycobacterium sp963849935,M. avium complex,GCA_963849935.1
Mycobacterium sp963850895,M. scrofulaceum group,GCA_963850895.1
Mycobacterium sp964292075,M. terrae complex,GCA_964292075.1
Mycobacterium sp964397355,M. terrae complex,GCA_964397355.1
Mycobacterium stephanolepidis,M. chelonae-abscessus complex,GCF_002356335.1
Mycobacterium stomatepiae,M. simiae complex,GCF_010731715.1
Mycobacterium syngnathidarum,M. fortuitum complex,GCF_001942625.1
Mycobacterium terrae,M. terrae complex,GCF_010727125.1
Mycobacterium tilburgii,M. simiae complex,GCF_902168065.1
Mycobacterium triplex,M. simiae complex,GCF_000689255.1
Mycobacterium triviale,M. triviale group,GCF_002102395.1
Mycobacterium virginiense,M. terrae complex,GCF_022374935.2
Mycobacterium vulneris,M. avium complex,GCF_002104765.1
Mycobacterium wolinskyi,M. smegmatis group,GCF_002101965.1
Mycobacterium crassicus,M. terrae complex,GCF_020181615.2
Mycobacterium nativiensis,M. terrae complex,GCF_020172685.2
Mycobacterium vasticus,M. terrae complex,GCF_020181595.2
Mycobacterium zoologicum,M. terrae complex,GCF_020181635.2
